日期,产品,类别,收入(欧元),销售数量,国家,销售代表,客户细分
2024-01-10,Laptop Pro X1,电子产品,2200.00,4,德国,Hans Mueller,企业
2024-01-18,Wireless Headphones,电子产品,135.00,10,法国,Marie Dubois,消费者
2024-01-28,Office Chair Deluxe,家具,400.00,6,英国,James Wilson,小企业
2024-02-05,Standing Desk,家具,720.00,2,德国,Hans Mueller,企业
2024-02-12,Tablet Ultra,电子产品,540.00,12,法国,Marie Dubois,消费者
2024-02-22,Conference Table,家具,1080.00,1,英国,James Wilson,企业
2024-03-02,Smartphone Pro,电子产品,810.00,15,德国,Hans Mueller,消费者
2024-03-12,Ergonomic Keyboard,电子产品,108.00,20,法国,Marie Dubois,小企业
2024-03-18,Executive Chair,家具,585.00,4,英国,James Wilson,企业
2024-03-25,Monitor 4K,电子产品,360.00,14,德国,Hans Mueller,消费者
2024-04-01,Bookshelf Modern,家具,270.00,8,法国,Marie Dubois,小企业
2024-04-10,Wireless Mouse,电子产品,72.00,25,英国,James Wilson,消费者
